Attribute,Attribute type,Acceptable values
Exams: JNVST (offers_jnvst_exam_prep),Yes/no,"Yes, No"
Exams: LIC AAO (offers_lic_aao_exam_prep),Yes/no,"Yes, No"
Exams: NEET (offers_neet_exam_prep),Yes/no,"Yes, No"
Exams: SBI Clerk (offers_sbi_clerk_exam_prep),Yes/no,"Yes, No"
Exams: SSC CGL (offers_ssc_cgl_exam_prep),Yes/no,"Yes, No"
Exams: SSC Government (offers_ssc_government_exam_prep),Yes/no,"Yes, No"
Exams: UGC Net (offers_ugc_net_exam_prep),Yes/no,"Yes, No"
Exams: UPSC Government (offers_upsc_government_exam_prep),Yes/no,"Yes, No"
From the business: Identifies as Asian-owned (is_owned_by_asian),Yes/no,"Yes, No"
From the business: Identifies as Black-owned (is_black_owned),Yes/no,"Yes, No"
From the business: Identifies as Indigenous-owned (is_owned_by_indigenous),Yes/no,"Yes, No"
From the business: Identifies as LGBTQ+ owned (is_owned_by_lgbtq),Yes/no,"Yes, No"
From the business: Identifies as Latino-owned (is_owned_by_latinx),Yes/no,"Yes, No"
From the business: Identifies as disabled-owned (is_owned_by_disability),Yes/no,"Yes, No"
From the business: Identifies as veteran-owned (is_owned_by_veterans),Yes/no,"Yes, No"
From the business: Identifies as women-owned (is_owned_by_women),Yes/no,"Yes, No"
From the business: Small business (is_small_business),Yes/no,"Yes, No"
Getting here: 24-hour transit available (has_transit_24_hours),Yes/no,"Yes, No"
Highlights: 3D movies (has_movies_3D),Yes/no,"Yes, No"
Highlights: Active military discounts (has_discounts_for_active_military),Yes/no,"Yes, No"
Highlights: All you can drink (has_all_you_can_drink),Yes/no,"Yes, No"
Highlights: Bar games (has_bar_games),Yes/no,"Yes, No"
Highlights: Cabaret (has_cabaret),Yes/no,"Yes, No"
Highlights: Fireplace (has_fireplace),Yes/no,"Yes, No"
Highlights: Karaoke (has_karaoke_nights),Yes/no,"Yes, No"
Highlights: Live music (has_live_music),Yes/no,"Yes, No"
Highlights: Live performances (has_live_performances),Yes/no,"Yes, No"
Highlights: Rooftop seating (has_seating_rooftop),Yes/no,"Yes, No"
Highlights: Serves local specialty (local_specialty),Yes/no,"Yes, No"
Highlights: Sports (suitable_for_watching_sports),Yes/no,"Yes, No"
Highlights: Trivia night (has_trivia_night),Yes/no,"Yes, No"
Offerings: Aadhaar updates (offers_aadhaar_updates),Yes/no,"Yes, No"
Offerings: Affiliated with CBSE  (affiliated_with_cbse_board),Yes/no,"Yes, No"
Offerings: Affiliated with CISCE  (affiliated_with_cisce_board),Yes/no,"Yes, No"
Offerings: Alcohol (serves_alcohol),Yes/no,"Yes, No"
Offerings: All you can eat (has_all_you_can_eat_always),Yes/no,"Yes, No"
Offerings: Arcade games (has_arcade_games),Yes/no,"Yes, No"
Offerings: Assembly service (has_service_assembly),Yes/no,"Yes, No"
Offerings: Bakery (has_bakery),Yes/no,"Yes, No"
Offerings: Beer (serves_beer),Yes/no,"Yes, No"
Offerings: Beverages (offers_beverage),Yes/no,"Yes, No"
Offerings: Bike storage (has_secure_bicycle_storage),Yes/no,"Yes, No"
Offerings: Braille menu (has_braille_menu),Yes/no,"Yes, No"
Offerings: Burial service (offers_burial_service),Yes/no,"Yes, No"
Offerings: Buys used goods (buys_goods_used),Yes/no,"Yes, No"
Offerings: CNG (offers_compressed_natural_gas),Yes/no,"Yes, No"
Offerings: Car rental (has_car_rental),Yes/no,"Yes, No"
Offerings: Car wash (has_car_wash),Yes/no,"Yes, No"
Offerings: Card enrollment  (offers_aadhaar_adult_enrollment),Yes/no,"Yes, No"
Offerings: Card enrollment for children 5 and younger (offers_aadhaar_children_enrollment),Yes/no,"Yes, No"
Offerings: Cash advance (has_cash_advance),Yes/no,"Yes, No"
Offerings: Check cashing (has_check_cashing),Yes/no,"Yes, No"
Offerings: Cocktails (serves_cocktails),Yes/no,"Yes, No"
Offerings: Coffee (serves_coffee),Yes/no,"Yes, No"
Offerings: Comfort food (serves_comfort_food),Yes/no,"Yes, No"
Offerings: Cosmetic dentistry (offers_cosmetic_dentistry),Yes/no,"Yes, No"
Offerings: Cremation service (offers_cremation_service),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): American (american),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Asian (asian),Yes/no,"Yes, No"
